Illumina_ID Population_ID
SS6004478 Australian
SS6004477 Australian
LP6007069-DNA_A01 Crete
LP6007068-DNA_A01 Crete
SS6004467 Dai
SS6004480 Dinka
SS6004468 French
SS6004469 Han
SS6004473 Ju_hoan_North
SS6004476 Karitiana
SS6004470 Mandenka
SS6004471 Mbuti
SS6004479 Mixe
SS6004472 Papuan
SS6004474 Sardinian
SS6004475 Yoruba
LP6005677-DNA_B01 Albanian
LP6005442-DNA_F02 Altaian
LP6005442-DNA_E07 Atayal
LP6005519-DNA_D01 Chane
LP6005442-DNA_D03 Chechen
LP6005443-DNA_C03 Chukchi
LP6005443-DNA_H05 Czech
LP6005443-DNA_D03 Eskimo_Chaplin
LP6005592-DNA_H03 Hawaiian
LP6005443-DNA_D04 Itelman
LP6005519-DNA_E05 Khonda_Dora
LP6005592-DNA_B02 Maori
LP6005592-DNA_B01 Norwegian
LP6005592-DNA_E02 Polish
LP6005592-DNA_D04 Samaritan
LP6005442-DNA_D09 Somali
LP6005442-DNA_G02 Armenian
LP6005519-DNA_F03 Armenian
LP6005441-DNA_D01 Balochi
LP6005441-DNA_C01 Balochi
LP6005441-DNA_A06 Bergamo
LP6005441-DNA_B06 Bergamo
LP6005443-DNA_C01 Daur
LP6005441-DNA_F04 Daur
LP6005443-DNA_F06 Masai
LP6005443-DNA_E06 Masai
LP6005441-DNA_G08 Mozabite
LP6005441-DNA_H08 Mozabite
LP6005441-DNA_E10 Pima
LP6005441-DNA_F10 Pima
LP6005441-DNA_G10 Russian
LP6005441-DNA_H10 Russian
LP6005441-DNA_C06 Japanese
LP6005442-DNA_F04 Jordanian
LP6005443-DNA_G08 Ju_hoan_North
LP6005441-DNA_H09 Palestinian
LP6005592-DNA_A04 Punjabi
LP6005441-DNA_A10 Papuan
LP6005442-DNA_C02 Abkhasian
LP6005442-DNA_D02 Abkhasian
LP6005441-DNA_A01 Adygei
LP6005441-DNA_B01 Adygei
LP6005443-DNA_A03 Aleut
LP6005443-DNA_H02 Aleut
LP6005442-DNA_C07 Ami
LP6005443-DNA_G05 Ami
LP6005443-DNA_E02 BantuHerero
LP6005441-DNA_F01 BantuHerero
LP6005443-DNA_A01 BantuKenya
LP6005441-DNA_B02 BantuKenya
LP6005443-DNA_G02 BantuTswana
LP6005443-DNA_F02 BantuTswana
LP6005441-DNA_C02 Basque
LP6005441-DNA_D02 Basque
LP6005441-DNA_E02 BedouinB
LP6005441-DNA_F02 BedouinB
LP6005442-DNA_G09 Bengali
LP6005442-DNA_H09 Bengali
LP6005441-DNA_G02 Biaka
LP6005441-DNA_H02 Biaka
LP6005441-DNA_B03 Bougainville
LP6005441-DNA_A03 Bougainville
LP6005519-DNA_G03 Brahmin
LP6005519-DNA_H03 Brahmin
LP6005441-DNA_D03 Brahui
LP6005441-DNA_C03 Brahui
LP6005442-DNA_A03 Bulgarian
LP6005442-DNA_B03 Bulgarian
LP6005519-DNA_B06 Burmese
LP6005519-DNA_A06 Burmese
LP6005441-DNA_E03 Burusho
LP6005441-DNA_F03 Burusho
LP6005441-DNA_G03 Cambodian
LP6005441-DNA_H03 Cambodian
LP6005443-DNA_H08 Dinka
LP6005443-DNA_B09 Dinka
LP6005443-DNA_D01 Druze
LP6005441-DNA_G04 Druze
LP6005519-DNA_F06 Dusun
LP6005519-DNA_E06 Dusun
LP6005442-DNA_E10 English
